Fe,C,Cr,Ni,Mn,Si,N,Mo,Co,P,S,Cu,W,Al,Ti,Ce,Nb,vol% sigma phase formed,Temperature(c),Onset Time(hrs),e_tot,e_tot_eV,CNT_feature
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.0,800.0,40.0,-404.42940968192414,-2.5244483752345705e+21,1.162551439369632e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.0,800.0,50.0,-463.4978282347195,-2.8931534438411194e+21,1.3323463983065893e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.0,800.0,100.0,-381.22319433001405,-2.3795951790079476e+21,1.0958440773088394e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,5.8,850.0,0.5,-433.1763104937054,-2.703886530101709e+21,1.245185763471918e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,9.1,850.0,1.0,-411.48227467072724,-2.5684723584946793e+21,1.1828252328874213e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,15.0,850.0,3.0,-384.5618104452038,-2.400434820798962e+21,1.1054410870151046e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,17.0,850.0,5.0,-492.0482541058681,-3.0713652021288286e+21,1.4144159459124967e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,18.8,850.0,10.0,-515.7859799002321,-3.2195360865372487e+21,1.4826511598434111e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.0,850.0,20.0,-467.952512763549,-2.9209595846700727e+21,1.3451515993798776e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.0,850.0,40.0,-412.28867491097844,-2.5735059087943276e+21,1.1851432684643825e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.0,850.0,50.0,-477.4334968039775,-2.9801398870504275e+21,1.3724051357918546e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.0,850.0,100.0,-457.12351511993916,-2.85336498137866e+21,1.314023134198747e+22
52.0,0,48.0,0,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,5.0,850.0,0.5,-688.6850679532293,-4.2987721941640576e+21,1.9796577544918926e+22
52.0,0,48.0,0,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,25.0,750.0,5.0,-684.3955389496325,-4.271996954123606e+21,1.9673273007761963e+22
52.0,0,48.0,0,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,50.0,700.0,50.0,-690.4603175158367,-4.3098533019338523e+21,1.9847607932048107e+22
66.14,0,19.0,9,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,5.0,900.0,1.0,-703.9001064119416,-4.3937444642233395e+21,2.0233941011491543e+22
66.14,0,19.0,9,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,30.0,800.0,10.0,-714.4011845602994,-4.459292194025389e+21,2.053579946253514e+22
66.14,0,19.0,9,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,50.0,700.0,100.0,-702.8123070179458,-4.386954420406018e+21,2.020267170414246e+22
57.14,0,24.0,13,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,5.0,850.0,0.8,-714.5925587723369,-4.460486751856927e+21,2.054130060464638e+22
57.14,0,24.0,13,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,30.0,750.0,8.0,-711.7993691732989,-4.443051662379732e+21,2.0461009050395967e+22
57.14,0,24.0,13,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,50.0,700.0,80.0,-713.7240790583302,-4.455065701482097e+21,2.051633574508347e+22
47.14,0,25.0,22,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,5.0,880.0,0.6,-707.5629504284642,-4.4166079365744736e+21,2.0339231192711147e+22
47.14,0,25.0,22,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,30.0,780.0,6.0,-712.225611568097,-4.445712267408061e+21,2.047326158934912e+22
47.14,0,25.0,22,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,50.0,700.0,60.0,-705.53351099317,-4.403940175619367e+21,2.0280893997637465e+22
68.11,0,18.0,11,0.8,0,0.03,2,0,0.03,0.03,0,0,0,0,0,0,5.0,890.0,2.0,-714.6451816968228,-4.4608152241515675e+21,2.0542813275464583e+22
68.0,0,18.0,11,0.8,0,0.14,2,0,0.03,0.03,0,0,0,0,0,0,10.0,870.0,1.0,-699.1264731346439,-4.363947445306447e+21,2.0096720668344147e+22
64.14,0,20.0,10,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,5.0,860.0,0.7,-707.7871801632803,-4.4180075785791954e+21,2.034567678234235e+22
64.14,0,20.0,10,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,10.0,850.0,3.0,-704.3541825297946,-4.3965788073509776e+21,2.02469936439598e+22
64.14,0,20.0,10,0.8,0,0,5,0,0.03,0.03,0,0,0,0,0,0,50.0,700.0,50.0,-707.1752026729313,-4.414187615084437e+21,2.0328085200344726e+22
65.14,0,22.0,9,0.8,0,0,3,0,0.03,0.03,0,0,0,0,0,0,5.0,880.0,1.0,-697.5808140313188,-4.354299441183492e+21,2.0052289967402823e+22
65.14,0,22.0,9,0.8,0,0,3,0,0.03,0.03,0,0,0,0,0,0,50.0,700.0,70.0,-707.9769119834002,-4.419191884600384e+21,2.035113071312221e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,1.0,950.0,1.0,-711.5521381799874,-4.4415084465194816e+21,2.0453902278725797e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,1.0,900.0,1.0,-710.2247076898329,-4.433222625399937e+21,2.041574466233964e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,1.0,850.0,1.0,-713.1464743859839,-4.451460293117311e+21,2.0499732225973648e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,1.0,800.0,2.5,-716.777446567706,-4.474124821475621e+21,2.060410623624882e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,5.0,950.0,1.5,-710.0812842761408,-4.4323273764516706e+21,2.0411621888574047e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,5.0,900.0,2.0,-702.9919828158105,-4.388075956736289e+21,2.0207836569813125e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,5.0,850.0,3.0,-706.0574528687617,-4.407210620806811e+21,2.029595495430959e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,5.0,800.0,4.0,-707.5830008060492,-4.416733091031359e+21,2.033980755028464e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,10.0,950.0,2.0,-707.2045003557865,-4.4143704912208194e+21,2.0328927376075722e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,10.0,900.0,2.0,-708.2208467209911,-4.420714525232426e+21,2.035814273236487e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,10.0,850.0,3.5,-721.7742486976172,-4.5053148603705265e+21,2.0747741673467446e+22
